t_us,t_s,x_m,y_m,yaw_rad,vx_body_m_s,vy_body_m_s,yaw_rate_rad_s,line_position_m,line_error_m,line_visible,line_confidence,pwm_left,pwm_right,motor_current_left_a,motor_current_right_a,motor_torque_left_nm,motor_torque_right_nm,wheel_force_left_n,wheel_force_right_n,desired_wheel_force_left_n,desired_wheel_force_right_n,slip_left,slip_right,normal_left_n,normal_right_n,battery_voltage_v,sensor_00_adc,sensor_01_adc,sensor_02_adc,sensor_03_adc,sensor_04_adc,sensor_05_adc,sensor_06_adc,sensor_07_adc,sensor_08_adc,sensor_09_adc,sensor_10_adc,sensor_11_adc,sensor_12_adc,sensor_13_adc,sensor_14_adc,sensor_15_adc
11000,0.011000000,0.000180419,0.034999538,-0.005308841,0.020783679,0.000000000,-0.602840960,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966635,0.001966635,0.000138279,-0.000138279,0.000588927,-0.000588927,0.013827905,-0.013827905,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
12000,0.012000000,0.000201202,0.034999425,-0.005911682,0.020783679,0.000000000,-0.602840992,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966535,0.001966535,0.000138272,-0.000138272,0.000588224,-0.000588224,0.013827202,-0.013827202,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
13000,0.013000000,0.000221985,0.034999299,-0.006514523,0.020783679,0.000000000,-0.602840995,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966524,0.001966524,0.000138271,-0.000138271,0.000588147,-0.000588147,0.013827125,-0.013827125,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
14000,0.014000000,0.000242768,0.034999160,-0.007117364,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588139,-0.000588139,0.013827116,-0.013827116,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
15000,0.015000000,0.000263552,0.034999009,-0.007720205,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
16000,0.016000000,0.000284335,0.034998845,-0.008323046,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
17000,0.017000000,0.000305118,0.034998669,-0.008925887,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
18000,0.018000000,0.000325900,0.034998481,-0.009528728,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
19000,0.019000000,0.000346683,0.034998279,-0.010131569,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
20000,0.020000000,0.000367466,0.034998066,-0.010734410,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
21000,0.021000000,0.000388248,0.034997840,-0.011337251,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
22000,0.022000000,0.000409030,0.034997601,-0.011940092,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
23000,0.023000000,0.000429813,0.034997350,-0.012542933,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
24000,0.024000000,0.000450595,0.034997086,-0.013145774,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
25000,0.025000000,0.000471376,0.034996809,-0.013748615,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
26000,0.026000000,0.000492158,0.034996521,-0.014351456,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
27000,0.027000000,0.000512940,0.034996219,-0.014954297,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
28000,0.028000000,0.000533721,0.034995905,-0.015557138,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
29000,0.029000000,0.000554502,0.034995579,-0.016159979,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
30000,0.030000000,0.000575283,0.034995240,-0.016762820,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
31000,0.031000000,0.000596064,0.034994888,-0.017365661,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
32000,0.032000000,0.000616844,0.034994524,-0.017968502,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
33000,0.033000000,0.000637624,0.034994148,-0.018571343,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
