t_us,t_s,x_m,y_m,yaw_rad,vx_body_m_s,vy_body_m_s,yaw_rate_rad_s,line_position_m,line_error_m,line_visible,line_confidence,pwm_left,pwm_right,motor_current_left_a,motor_current_right_a,motor_torque_left_nm,motor_torque_right_nm,wheel_force_left_n,wheel_force_right_n,desired_wheel_force_left_n,desired_wheel_force_right_n,slip_left,slip_right,normal_left_n,normal_right_n,battery_voltage_v,sensor_00_adc,sensor_01_adc,sensor_02_adc,sensor_03_adc,sensor_04_adc,sensor_05_adc,sensor_06_adc,sensor_07_adc,sensor_08_adc,sensor_09_adc,sensor_10_adc,sensor_11_adc,sensor_12_adc,sensor_13_adc,sensor_14_adc,sensor_15_adc
1767000,1.767000000,0.034347102,0.023430627,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1768000,1.768000000,0.034365715,0.023421546,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1769000,1.769000000,0.034384328,0.023412465,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1770000,1.770000000,0.034402941,0.023403385,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1771000,1.771000000,0.034421554,0.023394304,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1772000,1.772000000,0.034440167,0.023385223,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1773000,1.773000000,0.034458780,0.023376142,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1774000,1.774000000,0.034477393,0.023367062,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1775000,1.775000000,0.034496006,0.023357981,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1776000,1.776000000,0.034514619,0.023348900,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1777000,1.777000000,0.034533232,0.023339819,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1778000,1.778000000,0.034551845,0.023330739,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1779000,1.779000000,0.034570458,0.023321658,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1780000,1.780000000,0.034589071,0.023312577,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1781000,1.781000000,0.034607684,0.023303496,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1782000,1.782000000,0.034626298,0.023294416,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1783000,1.783000000,0.034644911,0.023285335,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1784000,1.784000000,0.034663524,0.023276254,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1785000,1.785000000,0.034682137,0.023267173,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1786000,1.786000000,0.034700750,0.023258093,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1787000,1.787000000,0.034719363,0.023249012,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1788000,1.788000000,0.034737976,0.023239931,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1789000,1.789000000,0.034756589,0.023230850,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1790000,1.790000000,0.034775202,0.023221770,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1791000,1.791000000,0.034793815,0.023212689,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1792000,1.792000000,0.034812428,0.023203608,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1793000,1.793000000,0.034831041,0.023194527,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1794000,1.794000000,0.034849654,0.023185447,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1795000,1.795000000,0.034868267,0.023176366,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1796000,1.796000000,0.034886880,0.023167285,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1797000,1.797000000,0.034905493,0.023158204,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1798000,1.798000000,0.034924106,0.023149124,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1799000,1.799000000,0.034942719,0.023140043,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1800000,1.800000000,0.034961332,0.023130962,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1801000,1.801000000,0.034979945,0.023121882,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1802000,1.802000000,0.034998558,0.023112801,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1803000,1.803000000,0.035017171,0.023103720,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1804000,1.804000000,0.035035784,0.023094639,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1805000,1.805000000,0.035054397,0.023085559,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1806000,1.806000000,0.035073011,0.023076478,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1807000,1.807000000,0.035091624,0.023067397,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1808000,1.808000000,0.035110237,0.023058316,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1809000,1.809000000,0.035128850,0.023049236,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1810000,1.810000000,0.035147463,0.023040155,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1811000,1.811000000,0.035166076,0.023031074,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1812000,1.812000000,0.035184689,0.023021993,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1813000,1.813000000,0.035203302,0.023012913,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1814000,1.814000000,0.035221915,0.023003832,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1815000,1.815000000,0.035240528,0.022994751,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1816000,1.816000000,0.035259141,0.022985670,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1817000,1.817000000,0.035277754,0.022976590,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1818000,1.818000000,0.035296367,0.022967509,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1819000,1.819000000,0.035314980,0.022958428,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1820000,1.820000000,0.035333593,0.022949347,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1821000,1.821000000,0.035352206,0.022940267,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1822000,1.822000000,0.035370819,0.022931186,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1823000,1.823000000,0.035389432,0.022922105,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1824000,1.824000000,0.035408045,0.022913024,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1825000,1.825000000,0.035426658,0.022903944,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1826000,1.826000000,0.035445271,0.022894863,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1827000,1.827000000,0.035463884,0.022885782,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1828000,1.828000000,0.035482497,0.022876701,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1829000,1.829000000,0.035501110,0.022867621,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1830000,1.830000000,0.035519723,0.022858540,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1831000,1.831000000,0.035538337,0.022849459,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1832000,1.832000000,0.035556950,0.022840378,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
1833000,1.833000000,0.035575563,0.022831298,-0.453896628,0.020710026,0.000000000,0.000000000,0.000000000,0.000000000,1,0.250000000,0.340000,0.340000,0.001882877,0.001882877,0.000132390,0.000132390,-0.000000000,-0.000000000,0.013238977,0.013238977,0.000000000,0.000000000,0.882598500,0.882598500,7.380960000,4095,4095,4095,4095,4095,4095,0,0,0,0,4095,4095,4095,4095,4095,4095
